id,timestamp,lat,lng,label,obstacle_id
1,1770490270.4734485,43.6583,-79.3968,permanent,1
2,1770490270.4734485,43.6585,-79.3968,permanent,1
3,1770490270.4734485,43.6585,-79.3965,permanent,1
4,1770490270.4734485,43.6583,-79.3965,permanent,1
5,1770490270.4734485,43.659,-79.3972,permanent,2
6,1770490270.4734485,43.65915,-79.3972,permanent,2
7,1770490270.4734485,43.65915,-79.397,permanent,2
8,1770490270.4734485,43.659,-79.397,permanent,2
9,1770490270.4734485,43.6587,-79.3963,permanent,3
10,1770490270.4734485,43.65885,-79.3962,permanent,3
11,1770490270.4734485,43.6588,-79.3961,permanent,3
12,1770490270.4734485,43.65865,-79.3962,permanent,3
13,1770490270.4734485,43.6593,-79.3964,permanent,4
14,1770490270.4734485,43.6594,-79.3964,permanent,4
15,1770490270.4734485,43.6594,-79.3963,permanent,4
16,1770490270.4734485,43.6593,-79.3963,permanent,4
17,1770490270.4734485,43.6595,-79.3968,permanent,5
18,1770490270.4734485,43.65955,-79.39675,permanent,5
19,1770490270.4734485,43.6595,-79.3967,permanent,5
